issue,title,url,independent,category,status,evidence,comment_count,current_capability,rationale,needed,demonstrated_modelsan_detection
669,Homotopy for Modelica.Fluid---Tests and examples,https://github.com/modelica/ModelicaStandardLibrary/issues/669,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,5,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.","Requests homotopy tests/examples; test coverage is the deliverable, not a numerical defect witness.","F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
671,Different icon sizes of Block connectors (input vs output),https://github.com/modelica/ModelicaStandardLibrary/issues/671,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,7,None for the requested editorial/graphical change.,Connector icon sizes need graphical/style validation.,"Documentation, diagram, link and source-style validation.",False
694,Reference temperature in resistors,https://github.com/modelica/ModelicaStandardLibrary/issues/694,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,12,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Reference-temperature convention (300.15 versus 293.15 K) is a design choice; no invalid computation is established.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
738,Analyze semantics of stream connectors and inStream() for separate compilation,https://github.com/modelica/ModelicaStandardLibrary/issues/738,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,4,Flattened numerical sanitizers do not implement these language/binding/effect checks.,Stream/inStream separate-compilation semantics require connector elaboration and cross-compilation equivalence checks.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
740,Create a simple turbine model,https://github.com/modelica/ModelicaStandardLibrary/issues/740,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,5,No detection claim: requested behavior/API must first be specified.,A simple turbine model is an added modeling capability.,"API design, compatibility and targeted regression tests.",False
742,Unified framework for regularized functions,https://github.com/modelica/ModelicaStandardLibrary/issues/742,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,9,No detection claim: requested behavior/API must first be specified.,A unified regularization framework needs API design and smoothness/accuracy tests once specified.,"API design, compatibility and targeted regression tests.",False
814,Duplicate definitions of basic electric elements present in Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/814,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,5,No detection claim: requested behavior/API must first be specified.,Duplicate electric-element definitions are maintainability/refactoring work unless behavior differences are demonstrated.,"API design, compatibility and targeted regression tests.",False
825,Default parameters in Modelica.Electrical.Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/825,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,8,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Large negative Spice sentinel represents an unspecified parameter; do not infer a physical violation from its sign or GUI display.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
849,Vendor Neutral Modelica Annotation Prototypes in MSL,https://github.com/modelica/ModelicaStandardLibrary/issues/849,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,6,No detection claim: requested behavior/API must first be specified.,Vendor-neutral annotations require specification/tool interoperability validation.,"API design, compatibility and targeted regression tests.",False
966,Fluid names for density and viscosity,https://github.com/modelica/ModelicaStandardLibrary/issues/966,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,5,None for the requested editorial/graphical change.,Density/viscosity naming conventions need API naming review.,"Documentation, diagram, link and source-style validation.",False
967,Media shall define type PressureDifference,https://github.com/modelica/ModelicaStandardLibrary/issues/967,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,7,No detection claim: requested behavior/API must first be specified.,"PressureDifference is a requested medium type addition, not a demonstrated numerical failure.","API design, compatibility and targeted regression tests.",False
1064,Handling of tiny capacitances in Spice-like electronic circuits,https://github.com/modelica/ModelicaStandardLibrary/issues/1064,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,0,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Tiny capacitances can cause stiffness/conditioning problems; SolverSan may report failure but lacks a scaled conditioning diagnosis.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
1118,Standardize annotation __Dymola_Commands,https://github.com/modelica/ModelicaStandardLibrary/issues/1118,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,1,No detection claim: requested behavior/API must first be specified.,Standardizing tool command annotations requires cross-tool metadata support.,"API design, compatibility and targeted regression tests.",False
1157,Modelica XML formats,https://github.com/modelica/ModelicaStandardLibrary/issues/1157,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,XML interchange formats require schema/round-trip compatibility tests.,"API design, compatibility and targeted regression tests.",False
1225,SimpleAir with negative specific enthalpy,https://github.com/modelica/ModelicaStandardLibrary/issues/1225,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,4,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Negative specific enthalpy can be valid because its zero is conventional; blanket positivity checking would be incorrect.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
1292,Models that deliberately do not simulate in ModelicaTest,https://github.com/modelica/ModelicaStandardLibrary/issues/1292,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,1,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Intentionally failing ModelicaTest models need expected-failure metadata so correct diagnostic behavior is not counted as a regression.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
1339,How to handle changes to resource data shipped with the MSL,https://github.com/modelica/ModelicaStandardLibrary/issues/1339,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,2,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Changes to shipped resources need versioning/provenance and downstream reference tests.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
1400,Mathematical mean functions,https://github.com/modelica/ModelicaStandardLibrary/issues/1400,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,Additional mathematical means require specified definitions/domains and implementation tests.,"API design, compatibility and targeted regression tests.",False
1410,Remove or reduce to a minimum the usage of cardinality in MSL,https://github.com/modelica/ModelicaStandardLibrary/issues/1410,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,10,Flattened numerical sanitizers do not implement these language/binding/effect checks.,"Deprecated cardinality usage is source-level compatibility/lint work, not evidence of an invalid numerical trajectory.","F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
1539,Unused models in Modelica/ModelicaTest library,https://github.com/modelica/ModelicaStandardLibrary/issues/1539,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,26,No detection claim: requested behavior/API must first be specified.,Unused model cleanup needs dependency/reachability review.,"API design, compatibility and targeted regression tests.",False
1575,R134a media - differentiation problems,https://github.com/modelica/ModelicaStandardLibrary/issues/1575,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,19,Flattened numerical sanitizers do not implement these language/binding/effect checks.,R134a differentiation needs function/record differentiation support and derivative-contract checks; compilation failure is not a sanitizer hit.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
1659,Missing term in entropy of table-based incompressible medium,https://github.com/modelica/ModelicaStandardLibrary/issues/1659,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,2,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Missing pressure contribution to table-based entropy needs thermodynamic identity/derivative tests with the medium's approximation assumptions.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
1741,Problematic models for regression test,https://github.com/modelica/ModelicaStandardLibrary/issues/1741,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,38,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.","Umbrella for problematic regression models; compare appropriate signals, conditioning and horizons, not raw trajectory equality alone.","F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
1742,Reverse flow in steady-state two-port models of Modelica.Fluid,https://github.com/modelica/ModelicaStandardLibrary/issues/1742,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,3,No detection claim: requested behavior/API must first be specified.,Suppressing unused reverse-flow equations is an optimization when reversal is disabled; the discussion does not establish wrong results.,"API design, compatibility and targeted regression tests.",False
1752,Modelica.Electrical.Machines.Losses.InductionMachines.PermanentMagnetLosses needs connection for stator current,https://github.com/modelica/ModelicaStandardLibrary/issues/1752,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,6,No detection claim: requested behavior/API must first be specified.,Stator-current input is legal Modelica; request is for a graphical connector/API with compatibility preserved.,"API design, compatibility and targeted regression tests.",False
1773,Possible unspecified/arbitrary initial system,https://github.com/modelica/ModelicaStandardLibrary/issues/1773,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,2,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Claim of an arbitrary initial system is disputed in comments; inspect actual initial constraints and state selection before assigning blame.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
1808,M_OLine: default resistance/meter is too high,https://github.com/modelica/ModelicaStandardLibrary/issues/1808,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,8,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,An implausible default line resistance needs a specification/datasheet or scale contract; positive finite resistance is not intrinsically invalid.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
1860,"""class"" still a valid Modelica class type to use?",https://github.com/modelica/ModelicaStandardLibrary/issues/1860,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,6,Flattened numerical sanitizers do not implement these language/binding/effect checks.,Use of class restrictions is a language/style compatibility question for the frontend.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
1862,Modelica.Utilities.Strings.sort,https://github.com/modelica/ModelicaStandardLibrary/issues/1862,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,"Despite the bug label, this is a sorting implementation/performance improvement note, not an established wrong-result reproducer.","API design, compatibility and targeted regression tests.",False
1873,Desired mechanical components,https://github.com/modelica/ModelicaStandardLibrary/issues/1873,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,Requested mechanical components extend library coverage.,"API design, compatibility and targeted regression tests.",False
1898,MSL 3.2.1 build 4 - Fluid pump efficiency,https://github.com/modelica/ModelicaStandardLibrary/issues/1898,True,NUMERIC,Possible symptom coverage only,Issue/discussion capability assessment; no execution verdict,13,Domain/Numeric/Solver/AssertSan may observe a reached failure; no executed issue-specific hit is established here.,Pump efficiency refers to nonlinear solve cost and Jacobian structure; discussion disputes whether simplification preserves the relevant physics.,"F6: scaled residual/rank/conditioning, progress budgets and high-precision error oracles.",False
1904,Support for textures in ModelicaServices,https://github.com/modelica/ModelicaStandardLibrary/issues/1904,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,3,No detection claim: requested behavior/API must first be specified.,Texture support belongs to visualization/services capabilities.,"API design, compatibility and targeted regression tests.",False
1906,Proposal to hide non-graphical protected outer world objects,https://github.com/modelica/ModelicaStandardLibrary/issues/1906,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,4,None for the requested editorial/graphical change.,Hiding protected outer world objects concerns diagram/browser presentation.,"Documentation, diagram, link and source-style validation.",False
1910,Issue with uninitialized record fields,https://github.com/modelica/ModelicaStandardLibrary/issues/1910,True,FRONTEND,Source/compiler analysis needed,Issue/discussion capability assessment; no execution verdict,3,Flattened numerical sanitizers do not implement these language/binding/effect checks.,Uninitialized record fields require path-sensitive definite assignment across functions; nonfinite observations cover only some downstream symptoms.,"F2/F3: source-aware binding, definite assignment, effects, local balance and compiler support.",False
1913,Modelica.Media.IdealGases.Common.MixtureGasNasa.specificEntropy correct?,https://github.com/modelica/ModelicaStandardLibrary/issues/1913,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,7,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Low-concentration entropy handling is defended as a deliberate singularity guard; continuity/asymptotic checks need an agreed error bound.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
1915,Check == and <> usages in functions,https://github.com/modelica/ModelicaStandardLibrary/issues/1915,True,UNRESOLVED,Not established,Issue/discussion capability assessment; no execution verdict,3,No defensible defect/detectability verdict from the current evidence; do not count as clean or missed.,Real equality is legal in functions and sometimes necessary for root termination; blanket equality lint would misclassify valid code.,Resolve the stated contract/version/reproducer uncertainty; then choose an oracle.,False
1942,Resource leak in Modelica.Utilities.Examples.readRealParameterModel (long term edition),https://github.com/modelica/ModelicaStandardLibrary/issues/1942,True,EXTERNAL,External/platform scope,Issue/discussion capability assessment; no execution verdict,5,"Modelica numerical sanitizers do not validate platform, file, C ABI or FMI protocols.",Resource handles created during parameter editing need lifetime/leak instrumentation in the external/runtime/GUI path.,"F9: platform CI, C/ABI/resource instrumentation, file and FMI contract tests.",False
1954,Support directories in loadResource(..),https://github.com/modelica/ModelicaStandardLibrary/issues/1954,True,EXTERNAL,External/platform scope,Issue/discussion capability assessment; no execution verdict,9,"Modelica numerical sanitizers do not validate platform, file, C ABI or FMI protocols.",Directory support in loadResource requires resource resolver/API tests.,"F9: platform CI, C/ABI/resource instrumentation, file and FMI contract tests.",False
1959,Usage of pre in Modelica.Electrical.Digital erroneous,https://github.com/modelica/ModelicaStandardLibrary/issues/1959,True,EVENT,Temporal oracle needed,Issue/discussion capability assessment; no execution verdict,4,"EventSan/ZenoSan measure event activity; they do not specify phase, sample delay, polarity or transition priority.",Digital pre semantics require a discrete state-transition truth table and event history; event density does not identify wrong logical state.,F3/F4: supported event/clock execution plus state-machine and sample-history contracts.,False
1974,Issue due to new argument crossArea in wall friction functions,https://github.com/modelica/ModelicaStandardLibrary/issues/1974,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,3,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",API/signature compatibility after adding crossArea needs conversion and downstream-call regression tests; discussion points to #1973.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2018,Standardized interface between Modelica and PLC,https://github.com/modelica/ModelicaStandardLibrary/issues/2018,True,EXTERNAL,External/platform scope,Issue/discussion capability assessment; no execution verdict,5,"Modelica numerical sanitizers do not validate platform, file, C ABI or FMI protocols.",A standardized PLC interface needs protocol/interface integration tests.,"F9: platform CI, C/ABI/resource instrumentation, file and FMI contract tests.",False
2058,Improved version of ideal transmission lines,https://github.com/modelica/ModelicaStandardLibrary/issues/2058,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,15,No detection claim: requested behavior/API must first be specified.,An improved ideal transmission-line implementation needs agreed behavior and cross-version regression tests.,"API design, compatibility and targeted regression tests.",False
2062,Blocks.Interfaces should declare parameters that assign vector length as nonnegative,https://github.com/modelica/ModelicaStandardLibrary/issues/2062,True,SHAPE,Shape analysis needed,Issue/discussion capability assessment; no execution verdict,1,"DimensionSan checks SI units, not array dimensions. No interprocedural extent/bounds detector.",Vector-length parameters need nonnegative size constraints and legal zero-size/negative-size elaboration tests.,"F2: shape contracts, reduced/full representations and runtime bounds provenance.",False
2083,Missing test or example model for Modelica.Electrical.Digital.Memories.DLATROM,https://github.com/modelica/ModelicaStandardLibrary/issues/2083,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,1,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",DLATROM lacks a test/example; add a memory truth-table and timing fixture.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
2089,Missing comments for result variables in Modelica.Electrical.Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/2089,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,6,None for the requested editorial/graphical change.,Spice3 result-variable comments require documentation coverage checks.,"Documentation, diagram, link and source-style validation.",False
2126,Add Modelica.Blocks.Sources.StringExpression,https://github.com/modelica/ModelicaStandardLibrary/issues/2126,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,0,No detection claim: requested behavior/API must first be specified.,StringExpression is a new source-block feature.,"API design, compatibility and targeted regression tests.",False
2164,Replace Blocks.Logical,https://github.com/modelica/ModelicaStandardLibrary/issues/2164,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,6,No detection claim: requested behavior/API must first be specified.,Replacing Blocks.Logical requires API/semantic migration decisions.,"API design, compatibility and targeted regression tests.",False
2189,State selection in Modelica.Blocks.Examples.NoiseExamples.ActuatorWithNoise,https://github.com/modelica/ModelicaStandardLibrary/issues/2189,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,5,No detection claim: requested behavior/API must first be specified.,State-selection suggestion aims at efficiency; no incorrect trace is established by the requested attribute change alone.,"API design, compatibility and targeted regression tests.",False
2193,Problems with equations from IdealGTOThyristor resulting in infinite loop,https://github.com/modelica/ModelicaStandardLibrary/issues/2193,True,EVENT,Temporal oracle needed,Issue/discussion capability assessment; no execution verdict,9,"EventSan/ZenoSan measure event activity; they do not specify phase, sample delay, polarity or transition priority.",IdealGTOThyristor iteration loop may be tool-specific; event-loop/progress diagnostics are symptoms until reproduced across supported tools.,F3/F4: supported event/clock execution plus state-machine and sample-history contracts.,False
2239,Inversion of complex matrices: usefulness and how to obtain in MSL,https://github.com/modelica/ModelicaStandardLibrary/issues/2239,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,19,No detection claim: requested behavior/API must first be specified.,Complex matrix inversion is a requested mathematical API capability with numerical conditioning contracts.,"API design, compatibility and targeted regression tests.",False
2241,External function wrapper dgees should not pass garbage for function pointer,https://github.com/modelica/ModelicaStandardLibrary/issues/2241,True,EXTERNAL,External/platform scope,Issue/discussion capability assessment; no execution verdict,23,"Modelica numerical sanitizers do not validate platform, file, C ABI or FMI protocols.","Invalid unused Fortran callback pointer in dgees requires ABI validation/C instrumentation, not a Modelica arithmetic-domain oracle.","F9: platform CI, C/ABI/resource instrumentation, file and FMI contract tests.",False
