id,verdict,group,tier,sanitizer_kind,model,target,declaration,original,report,omc_outcome,reason,proposed_action
BUG-021,confirmed,flux-length,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube2.l,GenericFluxTube.mo:15,BUG-sources-genericfluxtube2-l.md,confirmed/BUG-021.md,,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-022,confirmed,inactive-flux-normalization,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube3.material.B_myMax,FixedShape.mo:31,BUG-sources-genericfluxtube3-material-b-mymax.md,confirmed/BUG-022.md,,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-023,confirmed,flux-length,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube3.l,GenericFluxTube.mo:15,BUG-sources-genericfluxtube3-l.md,confirmed/BUG-023.md,,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-024,confirmed,opamp-supply-span,Confirmed,divisor-zero-when-parameters-equal,Modelica.Electrical.Analog.Examples.OpAmps.LCOscillator,opAmp.Vps,IdealizedOpAmpLimited.mo:21,BUG-lcoscillator-opamp-vps.md,confirmed/BUG-024.md,,"The source defines i_s = p_s/(vps-vns) with no nonzero-span assertion. In LCOscillator and Comparator, Vns=-15; setting Vps=-15 makes the denominator exactly zero. The correct equality witness is -15, not Vps=0. Both nominal examples pass; the actual equality fails in Rumoca and in ordinary and final-evaluated OpenModelica models.","In IdealizedOpAmpLimited validate vps > vns (including useSupply=true pins), and make the zero-span behavior explicit. Do not divide before validation; use a guarded expression plus a domain assertion. If collapsed supplies are to be supported, specify and implement their power/current behavior rather than substituting an epsilon."
BUG-025,confirmed,flux-area,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.area,FixedShape.mo:37,BUG-sensors-genericfluxtube-area.md,confirmed/BUG-025.md,,A=area; G_m=mu_0*mu_r*A/l; the inherited equations use R_m=1/G_m and B=Phi/A. area=0 makes both reciprocals undefined. Runtime overrides report division by zero; final-evaluated translation is structurally singular. This is not merely dividing a storage equation while selecting a state.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-026,false-positive,translation-sensitive-zero,Confirmed,,Modelica.Mechanics.Rotational.Examples.ElasticBearing,idealGear.ratio,,BUG-elasticbearing-idealgear-ratio.md,false-positives/BUG-026.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
DECL-0001,unresolved,declaration-needs-proof,Latent,,,AD,Electrical/Spice3.mo:4457,DECL-spice3-ad-4457.md,unresolved/DECL-0001.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0002,unresolved,declaration-needs-proof,Latent,,,AS,Electrical/Spice3.mo:4458,DECL-spice3-as-4458.md,unresolved/DECL-0002.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0003,unresolved,declaration-needs-proof,Latent,,,AD,Electrical/Spice3.mo:4663,DECL-spice3-ad-4663.md,unresolved/DECL-0003.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0004,unresolved,declaration-needs-proof,Latent,,,AS,Electrical/Spice3.mo:4664,DECL-spice3-as-4664.md,unresolved/DECL-0004.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0005,unresolved,declaration-needs-proof,Latent,,,A_cross,Fluid/Dissipation.mo:12629,DECL-dissipation-a-cross-12629.md,unresolved/DECL-0005.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0006,unresolved,declaration-needs-proof,Latent,,,A_cross_nom,Fluid/Dissipation.mo:12631,DECL-dissipation-a-cross-nom-12631.md,unresolved/DECL-0006.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0007,unresolved,declaration-needs-proof,Latent,,,crossArea,Fluid/Examples/AST_BatchPlant.mo:604,DECL-ast-batchplant-crossarea-604.md,unresolved/DECL-0007.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0008,unresolved,declaration-needs-proof,Latent,,,top_pipeArea,Fluid/Examples/AST_BatchPlant.mo:605,DECL-ast-batchplant-top-pipearea-605.md,unresolved/DECL-0008.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0009,unresolved,declaration-needs-proof,Latent,,,side_pipeArea,Fluid/Examples/AST_BatchPlant.mo:606,DECL-ast-batchplant-side-pipearea-606.md,unresolved/DECL-0009.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0010,unresolved,declaration-needs-proof,Latent,,,bottom_pipeArea,Fluid/Examples/AST_BatchPlant.mo:607,DECL-ast-batchplant-bottom-pipearea-607.md,unresolved/DECL-0010.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0011,unresolved,declaration-needs-proof,Latent,,,crossArea,Fluid/Examples/AST_BatchPlant.mo:1445,DECL-ast-batchplant-crossarea-1445.md,unresolved/DECL-0011.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0012,unresolved,declaration-needs-proof,Latent,,,crossArea_1,Fluid/Examples/HeatExchanger.mo:118,DECL-heatexchanger-crossarea-1-118.md,unresolved/DECL-0012.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0013,unresolved,declaration-needs-proof,Latent,,,crossArea_2,Fluid/Examples/HeatExchanger.mo:119,DECL-heatexchanger-crossarea-2-119.md,unresolved/DECL-0013.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0014,unresolved,declaration-needs-proof,Latent,,,area_h_1,Fluid/Examples/HeatExchanger.mo:138,DECL-heatexchanger-area-h-1-138.md,unresolved/DECL-0014.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0015,unresolved,declaration-needs-proof,Latent,,,area_h_2,Fluid/Examples/HeatExchanger.mo:139,DECL-heatexchanger-area-h-2-139.md,unresolved/DECL-0015.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0016,unresolved,declaration-needs-proof,Latent,,,area_h,Fluid/Examples/HeatExchanger.mo:151,DECL-heatexchanger-area-h-151.md,unresolved/DECL-0016.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0017,unresolved,declaration-needs-proof,Latent,,,area_h,Fluid/Examples/HeatExchanger.mo:407,DECL-heatexchanger-area-h-407.md,unresolved/DECL-0017.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
DECL-0018,unresolved,declaration-needs-proof,Latent,,,pistonCrossArea,Fluid/Machines.mo:9,DECL-machines-pistoncrossarea-9.md,unresolved/DECL-0018.md,,"This is a declaration-only census entry, with no enclosing executable model or failing witness. The source declaration was located and retained, but missing a local min is not sufficient: inherited types, intended signed/zero values, usage and guards still need a declaration-specific proof.","Resolve the intended parameter domain and enclosing equations; check inherited bounds, final/protected status, guards and aliases. Construct an otherwise-valid source-level witness, establish a clean baseline in a capable engine, then retranslate at the witness and compare with the runtime override. For equality claims use the actual partner value. Do not apply a blanket min>0 fix yet."
